A00,Cholera
S93439,Sprain of interphalangeal joint of left great toe
S93491,Sprain of interphalangeal joint of unspecified great toe
S93492,Sprain of interphalangeal joint of right lesser toe(s)
S93499,Sprain of interphalangeal joint of left lesser toe(s)
S93501,Sprain of interphalangeal joint of unspecified lesser toe(s)
S93502,Sprain of interphalangeal joint of unspecified toe(s)
S93503,Sprain of metatarsophalangeal joint of right great toe
S93504,Sprain of metatarsophalangeal joint of left great toe
S93505,Sprain of metatarsophalangeal joint of unspecified great toe
S93506,Sprain of metatarsophalangeal joint of right lesser toe(s)
S93509,Sprain of metatarsophalangeal joint of left lesser toe(s)
S93511,Sprain of metatarsophalangeal joint of unspecified lesser toe(s)
S93512,Sprain of metatarsophalangeal joint of unspecified toe(s)
S93513,Unspecified sprain of right foot
S93514,Unspecified sprain of left foot
S93515,Unspecified sprain of unspecified foot
S93516,Sprain of tarsal ligament of right foot
S93519,Sprain of tarsal ligament of left foot
S93521,Sprain of tarsal ligament of unspecified foot
S93522,Sprain of tarsometatarsal ligament of right foot
S93523,Sprain of tarsometatarsal ligament of left foot
S93524,Sprain of tarsometatarsal ligament of unspecified foot
S93525,Other sprain of right foot
S93526,Other sprain of left foot
S93529,Other sprain of unspecified foot
S93601,"Injury of lateral plantar nerve, unspecified leg"
S93602,"Injury of lateral plantar nerve, right leg"
S93609,"Injury of lateral plantar nerve, left leg"
S93611,"Injury of medial plantar nerve, unspecified leg"
S93612,"Injury of medial plantar nerve, right leg"
S93619,"Injury of medial plantar nerve, left leg"
S93621,"Injury of deep peroneal nerve at ankle and foot level, unspecified leg"
S93622,"Injury of deep peroneal nerve at ankle and foot level, right leg"
S93629,"Injury of deep peroneal nerve at ankle and foot level, left leg"
S93691,"Injury of cutaneous sensory nerve at ankle and foot level, unspecified leg"
S93692,"Injury of cutaneous sensory nerve at ankle and foot level, right leg"
S93699,"Injury of cutaneous sensory nerve at ankle and foot level, left leg"
S9400,"Injury of other nerves at ankle and foot level, right leg"
S9401,"Injury of other nerves at ankle and foot level, left leg"
S9402,"Injury of other nerves at ankle and foot level, unspecified leg"
S9410,"Injury of unspecified nerve at ankle and foot level, unspecified leg"
S9411,"Injury of unspecified nerve at ankle and foot level, right leg"
S9412,"Injury of unspecified nerve at ankle and foot level, left leg"
S9420,Unspecified injury of dorsal artery of right foot
S9421,Unspecified injury of dorsal artery of left foot
S9422,Unspecified injury of dorsal artery of unspecified foot
S9430,Laceration of dorsal artery of right foot
S9431,Laceration of dorsal artery of left foot
S9432,Laceration of dorsal artery of unspecified foot
S948X1,Other specified injury of dorsal artery of right foot
S948X2,Other specified injury of dorsal artery of left foot
S948X9,Other specified injury of dorsal artery of unspecified foot
S9490,Unspecified injury of plantar artery of right foot
S9491,Unspecified injury of plantar artery of left foot
S9492,Unspecified injury of plantar artery of unspecified foot
S95001,Laceration of plantar artery of right foot
S95002,Laceration of plantar artery of left foot
S95009,Laceration of plantar artery of unspecified foot
S95011,Other specified injury of plantar artery of right foot
S95012,Other specified injury of plantar artery of left foot
S95019,Other specified injury of plantar artery of unspecified foot
S95091,Unspecified injury of dorsal vein of right foot
S95092,Unspecified injury of dorsal vein of left foot
S95099,Unspecified injury of dorsal vein of unspecified foot
S95101,Laceration of dorsal vein of right foot
S95102,Laceration of dorsal vein of left foot
S95109,Laceration of dorsal vein of unspecified foot
S95111,Other specified injury of dorsal vein of right foot
S95112,Other specified injury of dorsal vein of left foot
S95119,Other specified injury of dorsal vein of unspecified foot
S95191,"Unspecified injury of other blood vessels at ankle and foot level, right leg"
S95192,"Unspecified injury of other blood vessels at ankle and foot level, left leg"
S95199,"Unspecified injury of other blood vessels at ankle and foot level, unspecified leg"
S95201,"Laceration of other blood vessels at ankle and foot level, right leg"
S95202,"Laceration of other blood vessels at ankle and foot level, left leg"
S95209,"Laceration of other blood vessels at ankle and foot level, unspecified leg"
S95211,"Other specified injury of other blood vessels at ankle and foot level, right leg"
S95212,"Other specified injury of other blood vessels at ankle and foot level, left leg"
S95219,"Other specified injury of other blood vessels at ankle and foot level, unspecified leg"
S95291,"Unspecified injury of unspecified blood vessel at ankle and foot level, right leg"
S95292,"Unspecified injury of unspecified blood vessel at ankle and foot level, left leg"
S95299,"Unspecified injury of unspecified blood vessel at ankle and foot level, unspecified leg"
S95801,"Laceration of unspecified blood vessel at ankle and foot level, right leg"
S95802,"Laceration of unspecified blood vessel at ankle and foot level, left leg"
S95809,"Laceration of unspecified blood vessel at ankle and foot level, unspecified leg"
S95811,"Other specified injury of unspecified blood vessel at ankle and foot level, right leg"
S95812,"Other specified injury of unspecified blood vessel at ankle and foot level, left leg"
S95819,"Other specified injury of unspecified blood vessel at ankle and foot level, unspecified leg"
S95891,"Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot"
S95892,"Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot"
S95899,"Unspecified injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot"
S95901,"Strain of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot"
S95902,"Strain of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot"
S95909,"Strain of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot"
S95911,"Laceration of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot"
S95912,"Laceration of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot"
S95919,"Laceration of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot"
S95991,"Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot"
S95992,"Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot"
S95999,"Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot"
S96001,"Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot"
S96002,"Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot"
S96009,"Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot"
S96011,"Strain of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot"
S96012,"Strain of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot"
S96019,"Strain of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot"
S96021,"Laceration of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot"
S96022,"Laceration of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot"
S96029,"Laceration of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot"
S96091,"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot"
S96092,"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot"
S96099,"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot"
S96101,"Unspecified injury of intrinsic muscle and tendon at ankle and foot level, right foot"
S96102,"Unspecified injury of intrinsic muscle and tendon at ankle and foot level, left foot"
S96109,"Unspecified injury of intrinsic muscle and tendon at ankle and foot level, unspecified foot"
S96111,"Strain of intrinsic muscle and tendon at ankle and foot level, right foot"
S96112,"Strain of intrinsic muscle and tendon at ankle and foot level, left foot"
S96119,"Strain of intrinsic muscle and tendon at ankle and foot level, unspecified foot"
S96121,"Laceration of intrinsic muscle and tendon at ankle and foot level, right foot"
S96122,"Laceration of intrinsic muscle and tendon at ankle and foot level, left foot"
S96129,"Laceration of intrinsic muscle and tendon at ankle and foot level, unspecified foot"
S96191,"Other specified injury of intrinsic muscle and tendon at ankle and foot level, right foot"
S96192,"Other specified injury of intrinsic muscle and tendon at ankle and foot level, left foot"
S96199,"Other specified injury of intrinsic muscle and tendon at ankle and foot level, unspecified foot"
S96201,"Unspecified injury of other specified muscles and tendons at ankle and foot level, right foot"
S96202,"Unspecified injury of other specified muscles and tendons at ankle and foot level, left foot"
S96209,"Unspecified injury of other specified muscles and tendons at ankle and foot level, unspecified foot"
S96211,"Strain of other specified muscles and tendons at ankle and foot level, right foot"
S96212,"Strain of other specified muscles and tendons at ankle and foot level, left foot"
S96219,"Strain of other specified muscles and tendons at ankle and foot level, unspecified foot"
S96221,"Laceration of other specified muscles and tendons at ankle and foot level, right foot"
S96222,"Laceration of other specified muscles and tendons at ankle and foot level, left foot"
S96229,"Laceration of other specified muscles and tendons at ankle and foot level, unspecified foot"
S96291,"Other specified injury of other specified muscles and tendons at ankle and foot level, right foot"
S96292,"Other specified injury of other specified muscles and tendons at ankle and foot level, left foot"
S96299,"Other specified injury of other specified muscles and tendons at ankle and foot level, unspecified foot"
S96801,"Unspecified injury of unspecified muscle and tendon at ankle and foot level, right foot"
S96802,"Unspecified injury of unspecified muscle and tendon at ankle and foot level, left foot"
S96809,"Unspecified injury of unspecified muscle and tendon at ankle and foot level, unspecified foot"
S96811,"Strain of unspecified muscle and tendon at ankle and foot level, right foot"
S96812,"Strain of unspecified muscle and tendon at ankle and foot level, left foot"
S96819,"Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot"
S96821,"Laceration of unspecified muscle and tendon at ankle and foot level, right foot"
S96822,"Laceration of unspecified muscle and tendon at ankle and foot level, left foot"
S96829,"Laceration of unspecified muscle and tendon at ankle and foot level, unspecified foot"
S96891,"Other specified injury of unspecified muscle and tendon at ankle and foot level, right foot"
S96892,"Other specified injury of unspecified muscle and tendon at ankle and foot level, left foot"
S96899,"Other specified injury of unspecified muscle and tendon at ankle and foot level, unspecified foot"
S96901,Crushing injury of unspecified ankle
S96902,Crushing injury of right ankle
S96909,Crushing injury of left ankle
S96911,Crushing injury of unspecified right toe(s)
S96912,Crushing injury of unspecified left toe(s)
S96919,Crushing injury of unspecified toe(s)
S96921,Crushing injury of right great toe
S96922,Crushing injury of left great toe
S96929,Crushing injury of unspecified great toe
S96991,Crushing injury of right lesser toe(s)
S96992,Crushing injury of left lesser toe(s)
S96999,Crushing injury of unspecified lesser toe(s)
S9700,Crushing injury of unspecified foot
S9701,Crushing injury of right foot
S9702,Crushing injury of left foot
S97101,Complete traumatic amputation of right foot at ankle level
S97102,Complete traumatic amputation of left foot at ankle level
S97109,Complete traumatic amputation of unspecified foot at ankle level
S97111,Partial traumatic amputation of right foot at ankle level
S97112,Partial traumatic amputation of left foot at ankle level
S97119,Partial traumatic amputation of unspecified foot at ankle level
S97121,Complete traumatic amputation of right great toe
S97122,Complete traumatic amputation of left great toe
S97129,Complete traumatic amputation of unspecified great toe
S9780,Partial traumatic amputation of right great toe
S9781,Partial traumatic amputation of left great toe
S9782,Partial traumatic amputation of unspecified great toe
S98011,Complete traumatic amputation of one right lesser toe
S98012,Complete traumatic amputation of one left lesser toe
S98019,Complete traumatic amputation of one unspecified lesser toe
S98021,Partial traumatic amputation of one right lesser toe
S98022,Partial traumatic amputation of one left lesser toe
S98029,Partial traumatic amputation of one unspecified lesser toe
S98111,Complete traumatic amputation of two or more right lesser toes
S98112,Complete traumatic amputation of two or more left lesser toes
S98119,Complete traumatic amputation of two or more unspecified lesser toes
S98121,Partial traumatic amputation of two or more right lesser toes
S98122,Partial traumatic amputation of two or more left lesser toes
S98129,Partial traumatic amputation of two or more unspecified lesser toes
S98131,Complete traumatic amputation of right midfoot
S98132,Complete traumatic amputation of left midfoot
S98139,Complete traumatic amputation of unspecified midfoot
S98141,Partial traumatic amputation of right midfoot
S98142,Partial traumatic amputation of left midfoot
S98149,Partial traumatic amputation of unspecified midfoot
S98211,"Complete traumatic amputation of right foot, level unspecified"
S98212,"Complete traumatic amputation of left foot, level unspecified"
S98219,"Complete traumatic amputation of unspecified foot, level unspecified"
S98221,"Partial traumatic amputation of right foot, level unspecified"
S98222,"Partial traumatic amputation of left foot, level unspecified"
S98229,"Partial traumatic amputation of unspecified foot, level unspecified"
S98311,Unspecified physeal fracture of right calcaneus
S98312,Unspecified physeal fracture of left calcaneus
S98319,Unspecified physeal fracture of unspecified calcaneus
S98321,Salter-Harris Type I physeal fracture of right calcaneus
S98322,Salter-Harris Type I physeal fracture of left calcaneus
S98329,Salter-Harris Type I physeal fracture of unspecified calcaneus
S98911,Salter-Harris Type II physeal fracture of right calcaneus
S98912,Salter-Harris Type II physeal fracture of left calcaneus
S98919,Salter-Harris Type II physeal fracture of unspecified calcaneus
S98921,Salter-Harris Type III physeal fracture of right calcaneus
S98922,Salter-Harris Type III physeal fracture of left calcaneus
S98929,Salter-Harris Type III physeal fracture of unspecified calcaneus
S99001,Salter-Harris Type IV physeal fracture of right calcaneus
S99002,Salter-Harris Type IV physeal fracture of left calcaneus
S99009,Salter-Harris Type IV physeal fracture of unspecified calcaneus
S99011,Other physeal fracture of right calcaneus
S99012,Other physeal fracture of left calcaneus
S99019,Other physeal fracture of unspecified calcaneus
S99021,Unspecified physeal fracture of right  metatarsal
S99022,Unspecified physeal fracture of left metatarsal
S99029,Unspecified physeal fracture of unspecified metatarsal
S99031,Salter-Harris Type I physeal fracture of right metatarsal
S99032,Salter-Harris Type I physeal fracture of left metatarsal
S99039,Salter-Harris Type I physeal fracture of unspecified metatarsal
S99041,Salter-Harris Type II physeal fracture of right metatarsal
S99042,Salter-Harris Type II physeal fracture of left metatarsal
S99049,Salter-Harris Type II physeal fracture of unspecified metatarsal
S99091,Salter-Harris Type III physeal fracture of right metatarsal
S99092,Salter-Harris Type III physeal fracture of left  metatarsal
S99099,Salter-Harris Type III physeal fracture of unspecified metatarsal
S99101,Salter-Harris Type IV physeal fracture of right metatarsal
S99102,Salter-Harris Type IV physeal fracture of left metatarsal
S99109,Salter-Harris Type IV physeal fracture of unspecified metatarsal
S99111,Other physeal fracture of right metatarsal
S99112,Other physeal fracture of left metatarsal
S99119,Other physeal fracture of unspecified metatarsal
S99121,Unspecified physeal fracture of phalanx of right toe
S99122,Unspecified physeal fracture of phalanx of left toe
S99129,Unspecified physeal fracture of phalanx of unspecified toe
S99131,Salter-Harris Type I physeal fracture of phalanx of right toe
S99132,Salter-Harris Type I physeal fracture of phalanx of left toe
S99139,Salter-Harris Type I physeal fracture of phalanx of unspecified toe
S99141,Salter-Harris Type II physeal fracture of phalanx of right toe
S99142,Salter-Harris Type II physeal fracture of phalanx of left toe
S99149,Salter-Harris Type II physeal fracture of phalanx of unspecified toe
S99191,Salter-Harris Type III physeal fracture of phalanx of right toe
S99192,Salter-Harris Type III physeal fracture of phalanx of left toe
S99199,Salter-Harris Type III physeal fracture of phalanx of unspecified toe
S99201,Salter-Harris Type IV physeal fracture of phalanx of right toe
S99202,Salter-Harris Type IV physeal fracture of phalanx of left toe
S99209,Salter-Harris Type IV physeal fracture of phalanx of unspecified toe
S99211,Other physeal fracture of phalanx of right toe
S99212,Other physeal fracture of phalanx of left toe
S99219,Other physeal fracture of phalanx of unspecified toe
S99221,Other specified injuries of right ankle
S99222,Other specified injuries of left ankle
S99229,Other specified injuries of unspecified ankle
S99231,Other specified injuries of right foot
S99232,Other specified injuries of left foot
S99239,Other specified injuries of unspecified foot
S99241,Unspecified injury of right ankle
S99242,Unspecified injury of left ankle
S99249,Unspecified injury of unspecified ankle
S99291,Unspecified injury of right foot
S99292,Unspecified injury of left foot
S99299,Unspecified injury of unspecified foot
S99811,Unspecified multiple injuries
S99812,Other injury of unspecified body region
S99819,"Injury, unspecified"
S99821,Suicide attempt
S99822,"Foreign body in cornea, unspecified eye"
S99829,"Foreign body in cornea, right eye"
S99911,"Foreign body in cornea, left eye"
S99912,"Foreign body in conjunctival sac, unspecified eye"
S99919,"Foreign body in conjunctival sac, right eye"
S99921,"Foreign body in conjunctival sac, left eye"
S99922,"Foreign body in other and multiple parts of external eye, unspecified eye"
S99929,"Foreign body in other and multiple parts of external eye, right eye"
T07,"Foreign body in other and multiple parts of external eye, left eye"
T148,"Foreign body on external eye, part unspecified, unspecified eye"
T1490,"Foreign body on external eye, part unspecified, right eye"
T1491,"Foreign body on external eye, part unspecified, left eye"
T1500,Foreign body in right ear
T1501,Foreign body in left ear
T1502,"Foreign body in ear, unspecified ear"
T1510,Foreign body in nasal sinus
T1511,Foreign body in nostril
T1512,Unspecified foreign body in pharynx causing asphyxiation
T1580,Unspecified foreign body in pharynx causing other injury
T1581,Gastric contents in pharynx causing asphyxiation
T1582,Gastric contents in pharynx causing other injury
T1590,Food in pharynx causing asphyxiation
T1591,Food in pharynx causing other injury
T1592,Other foreign object in pharynx causing asphyxiation
T161,Other foreign object in pharynx causing other injury
T162,Unspecified foreign body in larynx causing asphyxiation
T169,Unspecified foreign body in larynx causing other injury
T170,Gastric contents in larynx causing asphyxiation
T171,Gastric contents in larynx causing other injury
T17200,Food in larynx causing asphyxiation
T17208,Food in larynx causing other injury
T17210,Other foreign object in larynx causing asphyxiation
T17218,Other foreign object in larynx causing other injury
T17220,Unspecified foreign body in trachea causing asphyxiation
T17228,Unspecified foreign body in trachea causing other injury
T17290,Gastric contents in trachea causing asphyxiation
T17298,Gastric contents in trachea causing other injury
T17300,Food in trachea causing asphyxiation
T17308,Food in trachea causing other injury
T17310,Other foreign object in trachea causing asphyxiation
T17318,Other foreign object in trachea causing other injury
T17320,Unspecified foreign body in bronchus causing asphyxiation
T17328,Unspecified foreign body in bronchus causing other injury
T17390,Gastric contents in bronchus causing asphyxiation
T17398,Gastric contents in bronchus causing other injury
T17400,Food in bronchus causing asphyxiation
T17408,Food in bronchus causing other injury
T17410,Other foreign object in bronchus causing asphyxiation
T17418,Other foreign object in bronchus causing other injury
T17420,Unspecified foreign body in other parts of respiratory tract causing asphyxiation
T17428,Unspecified foreign body in other parts of respiratory tract causing other injury
T17490,Gastric contents in other parts of respiratory tract causing asphyxiation
T17498,Gastric contents in other parts of respiratory tract causing other injury
T17500,Food in other parts of respiratory tract causing asphyxiation
T17508,Food in other parts of respiratory tract causing other injury
T17510,Other foreign object in other parts of respiratory tract causing asphyxiation
T17518,Other foreign object in other parts of respiratory tract causing other injury
T17520,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation"
T17528,"Unspecified foreign body in respiratory tract, part unspecified causing other injury"
T17590,"Gastric contents in respiratory tract, part unspecified causing asphyxiation"
T17598,"Gastric contents in respiratory tract, part unspecified causing other injury"
T17800,"Food in respiratory tract, part unspecified causing asphyxiation"
T17808,"Food in respiratory tract, part unspecified causing other injury"
T17810,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation"
T17818,"Other foreign object in respiratory tract, part unspecified causing other injury"
T17820,Foreign body in mouth
T17828,Unspecified foreign body in esophagus causing compression of trachea
T17890,Unspecified foreign body in esophagus causing other injury
T17898,Gastric contents in esophagus causing compression of trachea
T17900,Gastric contents in esophagus causing other injury
T17908,Food in esophagus causing compression of trachea
T17910,Food in esophagus causing other injury
T17918,Other foreign object in esophagus causing compression of trachea
T17920,Other foreign object in esophagus causing other injury
T17928,Foreign body in stomach
T17990,Foreign body in small intestine
T17998,Foreign body in colon
T180,Foreign body in anus and rectum
T18100,Foreign body in other parts of alimentary tract
T18108,"Foreign body of alimentary tract, part unspecified"
T18110,Foreign body in urethra
T18118,Foreign body in bladder
T18120,Foreign body in vulva and vagina
T18128,Foreign body in uterus
T18190,Foreign body in penis
T18198,Foreign body in other parts of genitourinary tract
T182,"Foreign body in genitourinary tract, part unspecified"
T183,"Burn of unspecified degree of head, face, and neck, unspecified site"
T184,"Burn of unspecified degree of right ear [any part, except ear drum]"
T185,"Burn of unspecified degree of left ear [any part, except ear drum]"
T188,"Burn of unspecified degree of unspecified ear [any part, except ear drum]"
T189,Burn of unspecified degree of lip(s)
T190,Burn of unspecified degree of chin
T191,Burn of unspecified degree of nose (septum)
T192,Burn of unspecified degree of scalp [any part]
T193,Burn of unspecified degree of forehead and cheek
T194,Burn of unspecified degree of neck
T198,"Burn of unspecified degree of multiple sites of head, face, and neck"
T199,"Burn of first degree of head, face, and neck, unspecified site"
T2000,"Burn of first degree of right ear [any part, except ear drum]"
T20011,"Burn of first degree of left ear [any part, except ear drum]"
T20012,"Burn of first degree of unspecified ear [any part, except ear drum]"
T20019,Burn of first degree of lip(s)
T2002,Burn of first degree of chin
T2003,Burn of first degree of nose (septum)
T2004,Burn of first degree of scalp [any part]
T2005,Burn of first degree of forehead and cheek
T2006,Burn of first degree of neck
T2007,"Burn of first degree of multiple sites of head, face, and neck"
T2009,"Burn of second degree of head, face, and neck, unspecified site"
T2010,"Burn of second degree of right ear [any part, except ear drum]"
T20111,"Burn of second degree of left ear [any part, except ear drum]"
T20112,"Burn of second degree of unspecified ear [any part, except ear drum]"
T20119,Burn of second degree of lip(s)
T2012,Burn of second degree of chin
T2013,Burn of second degree of nose (septum)
T2014,Burn of second degree of scalp [any part]
T2015,Burn of second degree of forehead and cheek
T2016,Burn of second degree of neck
T2017,"Burn of second degree of multiple sites of head, face, and neck"
T2019,"Burn of third degree of head, face, and neck, unspecified site"
T2020,"Burn of third degree of right ear [any part, except ear drum]"
T20211,"Burn of third degree of left ear [any part, except ear drum]"
T20212,"Burn of third degree of unspecified ear [any part, except ear drum]"
T20219,Burn of third degree of lip(s)
T2022,Burn of third degree of chin
T2023,Burn of third degree of nose (septum)
T2024,Burn of third degree of scalp [any part]
T2025,Burn of third degree of forehead and cheek
T2026,Burn of third degree of neck
T2027,"Burn of third degree of multiple sites of head, face, and neck"
T2029,"Corrosion of unspecified degree of head, face, and neck, unspecified site"
T2030,"Corrosion of unspecified degree of right ear [any part, except ear drum]"
T20311,"Corrosion of unspecified degree of left ear [any part, except ear drum]"
T20312,"Corrosion of unspecified degree of unspecified ear [any part, except ear drum]"
T20319,Corrosion of unspecified degree of lip(s)
T2032,Corrosion of unspecified degree of chin
T2033,Corrosion of unspecified degree of nose (septum)
T2034,Corrosion of unspecified degree of scalp [any part]
T2035,Corrosion of unspecified degree of forehead and cheek
T2036,Corrosion of unspecified degree of neck
T2037,"Corrosion of unspecified degree of multiple sites of head, face, and neck"
T2039,"Corrosion of first degree of head, face, and neck, unspecified site"
T2040,"Corrosion of first degree of right ear [any part, except ear drum]"
T20411,"Corrosion of first degree of left ear [any part, except ear drum]"
T20412,"Corrosion of first degree of unspecified ear [any part, except ear drum]"
T20419,Corrosion of first degree of lip(s)
T2042,Corrosion of first degree of chin
T2043,Corrosion of first degree of nose (septum)
T2044,Corrosion of first degree of scalp [any part]
T2045,Corrosion of first degree of forehead and cheek
T2046,Corrosion of first degree of neck
T2047,"Corrosion of first degree of multiple sites of head, face, and neck"
T2049,"Corrosion of second degree of head, face, and neck, unspecified site"
T2050,"Corrosion of second degree of right ear [any part, except ear drum]"
T20511,"Corrosion of second degree of left ear [any part, except ear drum]"
T20512,"Corrosion of second degree of unspecified ear [any part, except ear drum]"
T20519,Corrosion of second degree of lip(s)
T2052,Corrosion of second degree of chin
T2053,Corrosion of second degree of nose (septum)
T2054,Corrosion of second degree of scalp [any part]
T2055,Corrosion of second degree of forehead and cheek
T2056,Corrosion of second degree of neck
T2057,"Corrosion of second degree of multiple sites of head, face, and neck"
T2059,"Corrosion of third degree of head, face, and neck, unspecified site"
T2060,"Corrosion of third degree of right ear [any part, except ear drum]"
T20611,"Corrosion of third degree of left ear [any part, except ear drum]"
T20612,"Corrosion of third degree of unspecified ear [any part, except ear drum]"
T20619,Corrosion of third degree of lip(s)
T2062,Corrosion of third degree of chin
T2063,Corrosion of third degree of nose (septum)
T2064,Corrosion of third degree of scalp [any part]
T2065,Corrosion of third degree of forehead and cheek
T2066,Corrosion of third degree of neck
T2067,"Corrosion of third degree of multiple sites of head, face, and neck"
T2069,"Burn of unspecified degree of trunk, unspecified site"
T2070,Burn of unspecified degree of chest wall
T20711,Burn of unspecified degree of abdominal wall
T20712,Burn of unspecified degree of upper back
T20719,Burn of unspecified degree of lower back
T2072,Burn of unspecified degree of buttock
T2073,Burn of unspecified degree of male genital region
T2074,Burn of unspecified degree of female genital region
T2075,Burn of unspecified degree of other site of trunk
T2076,"Burn of first degree of trunk, unspecified site"
T2077,Burn of first degree of chest wall
T2079,Burn of first degree of abdominal wall
T2100,Burn of first degree of upper back
T2101,Burn of first degree of lower back
T2102,Burn of first degree of buttock
T2103,Burn of first degree of male genital region
T2104,Burn of first degree of female genital region
T2105,Burn of first degree of other site of trunk
T2106,"Burn of second degree of trunk, unspecified site"
T2107,Burn of second degree of chest wall
T2109,Burn of second degree of abdominal wall
T2110,Burn of second degree of upper back
T2111,Burn of second degree of lower back
T2112,Burn of second degree of buttock
T2113,Burn of second degree of male genital region
T2114,Burn of second degree of female genital region
T2115,Burn of second degree of other site of trunk
T2116,"Burn of third degree of trunk, unspecified site"
T2117,Burn of third degree of chest wall
T2119,Burn of third degree of abdominal wall
T2120,Burn of third degree of upper back
T2121,Burn of third degree of lower back
T2122,Burn of third degree of buttock
T2123,Burn of third degree of male genital region
T2124,Burn of third degree of female genital region
T2125,Burn of third degree of other site of trunk
T2126,"Corrosion of unspecified degree of trunk, unspecified site"
T2127,Corrosion of unspecified degree of chest wall
T2129,Corrosion of unspecified degree of abdominal wall
T2130,Corrosion of unspecified degree of upper back
T2131,Corrosion of unspecified degree of lower back
T2132,Corrosion of unspecified degree of buttock
T2133,Corrosion of unspecified degree of male genital region
T2134,Corrosion of unspecified degree of female genital region
T2135,Corrosion of unspecified degree of other site of trunk
T2136,"Corrosion of first degree of trunk, unspecified site"
T2137,Corrosion of first degree of chest wall
T2139,Corrosion of first degree of abdominal wall
T2140,Corrosion of first degree of upper back
T2141,Corrosion of first degree of lower back
T2142,Corrosion of first degree of buttock
T2143,Corrosion of first degree of male genital region
T2144,Corrosion of first degree of female genital region
T2145,Corrosion of first degree of other site of trunk
T2146,"Corrosion of second degree of trunk, unspecified site"
T2147,Corrosion of second degree of chest wall
T2149,Corrosion of second degree of abdominal wall
T2150,Corrosion of second degree of upper back
T2151,Corrosion of second degree of lower back
T2152,Corrosion of second degree of buttock
T2153,Corrosion of second degree of male genital region
T2154,Corrosion of second degree of female genital region
T2155,Corrosion of second degree of other site of trunk
T2156,"Corrosion of third degree of trunk, unspecified site"
T2157,Corrosion of third degree of chest wall
T2159,Corrosion of third degree of abdominal wall
T2160,Corrosion of third degree of upper back
T2161,Corrosion of third degree of lower back
T2162,Corrosion of third degree of buttock
T2163,Corrosion of third degree of male genital region
T2164,Corrosion of third degree of female genital region
T2165,Corrosion of third degree of other site of trunk
T2166,"Burn of unspecified degree of shoulder and upper limb, except wrist and hand, unspecified site"
T2167,Burn of unspecified degree of right forearm
T2169,Burn of unspecified degree of left forearm
T2170,Burn of unspecified degree of unspecified forearm
T2171,Burn of unspecified degree of right elbow
T2172,Burn of unspecified degree of left elbow
T2173,Burn of unspecified degree of unspecified elbow
T2174,Burn of unspecified degree of right upper arm
T2175,Burn of unspecified degree of left upper arm
T2176,Burn of unspecified degree of unspecified upper arm
T2177,Burn of unspecified degree of right axilla
T2179,Burn of unspecified degree of left axilla
T2200,Burn of unspecified degree of unspecified axilla
T22011,Burn of unspecified degree of right shoulder
T22012,Burn of unspecified degree of left shoulder
T22019,Burn of unspecified degree of unspecified shoulder
T22021,Burn of unspecified degree of right scapular region
T22022,Burn of unspecified degree of left scapular region
T22029,Burn of unspecified degree of unspecified scapular region
T22031,"Burn of unspecified degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22032,"Burn of unspecified degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22039,"Burn of unspecified degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22041,"Burn of first degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22042,Burn of first degree of right forearm
T22049,Burn of first degree of left forearm
T22051,Burn of first degree of unspecified forearm
T22052,Burn of first degree of right elbow
T22059,Burn of first degree of left elbow
T22061,Burn of first degree of unspecified elbow
T22062,Burn of first degree of right upper arm
T22069,Burn of first degree of left upper arm
T22091,Burn of first degree of unspecified upper arm
T22092,Burn of first degree of right axilla
